Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
DIEHL AVIATION GILCHING GMBH	83332103	F--L32A319-165-001--1	1	Ordered	7-45652-8	CONTROL CABLE, DRAIN	96.32501-3001	6	ST	09/05/2025	458,25	2.749,50	USD
DIEHL AVIATION GILCHING GMBH	83331219	F--L32A319-165-001--1	1	Ordered	7-45704-12	CONTROL CABLE, WASTE DRAIN	96.33502-3001	2	ST	25/08/2025	904,7	1.809,40	USD
DIEHL AVIATION GILCHING GMBH	83331219	F--L32A319-165-001--1	2	Ordered	7-45704-12	CONTROL CABLE, WASTE DRAIN	96.33502-3001	3	ST	29/09/2025	904,7	2.714,10	USD
DIEHL AVIATION GILCHING GMBH	83331219	F--L32A319-165-001--1	3	Ordered	7-45704-12	CONTROL CABLE, WASTE DRAIN	96.33502-3001	2	ST	24/12/2025	904,7	1.809,40	USD
DIEHL AVIATION GILCHING GMBH	83331217	F--L32A319-165-001--1	1	Ordered	65866-2	HANDLE ASSEMBLY		3	ST	25/03/2025	829,96	2.489,88	USD
DIEHL AVIATION GILCHING GMBH	83331216	F--L32A319-165-001--1	1	Ordered	7-45652-8	CONTROL CABLE, DRAIN	96.32501-3001	6	ST	03/06/2025	458,25	2.749,50	USD
DIEHL AVIATION GILCHING GMBH	83331215	F--L32A319-165-001--1	1	Ordered	L71A321XLR-20	SERVICE PANEL LEVER		30	ST	30/06/2025	870	26.100,00	USD
DIEHL AVIATION GILCHING GMBH	83331214	F--L32A319-165-001--1	2	Ordered	65837-1	ROD ASSY	462541	1	ST	07/04/2025	758,97	758,97	USD
DIEHL AVIATION GILCHING GMBH	83331214	F--L32A319-165-001--1	3	Ordered	65865-2	SWIVEL END ASSEMBLY	468014	1	ST	07/04/2025	198,03	198,03	USD
DIEHL AVIATION GILCHING GMBH	83331212	F--L32A319-165-001--1	1	Ordered	7-45652-5	CONTROL CABLE, DRAIN	96.32501-0001	40	ST	12/05/2025	478,01	19.120,40	USD
DIEHL AVIATION GILCHING GMBH	83331212	F--L32A319-165-001--1	2	Ordered	7-45652-5	CONTROL CABLE, DRAIN	96.32501-0001	20	ST	05/06/2025	478,01	9.560,20	USD
DIEHL AVIATION GILCHING GMBH	83331212	F--L32A319-165-001--1	3	Ordered	7-45652-5	CONTROL CABLE, DRAIN	96.32501-0001	30	ST	02/07/2025	478,01	14.340,30	USD
DIEHL AVIATION GILCHING GMBH	83331211	F--L32A319-165-001--1	1	Ordered	L71A321XLR-20	SERVICE PANEL LEVER		10	ST	28/05/2025	870	8.700,00	USD
