Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
Leonardo Aircraft	82221183	F--L32A319-165-001--1	1	Ordered	L50C27-31F	HANDLE ASSY	G3003240001-001	5	ST	24/07/2025	8.385,83	41.929,15	EUR
Leonardo Aircraft	82221182	F--L32A319-165-001--1	1	Ordered	L50C27-30-1F	CASING ASSY		5	ST	04/04/2025	692,59	3.462,95	EUR
Leonardo Aircraft	82221182	F--L32A319-165-001--1	2	Ordered	L50C27-30-2F	CASING ASSY		5	ST	20/05/2025	631,47	3.157,35	EUR
Leonardo Aircraft	82221182	F--L32A319-165-001--1	3	Ordered	L50C27-30-3F	CASING ASSY		5	ST	20/05/2025	525,86	2.629,30	EUR
Leonardo Aircraft	82221182	F--L32A319-165-001--1	4	Ordered	L50C27-30-4F	CASING ASSY		5	ST	20/05/2025	669,56	3.347,80	EUR
Leonardo Aircraft	82221176	F--L32A319-165-001--1	4	Ordered	L50C27-30-4F	CASING ASSY		7	ST	04/07/2025	631,66	4.421,62	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	36	Ordered	L50-57L130	SLIDINGEND ASSY		2	ST	20/06/2025	146,87	293,74	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	37	Ordered	L50C27-52-1A	CASING ASSY		1	ST	20/06/2025	72,07	72,07	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	38	Ordered	L50C27-54-1	CASING ASSY		1	ST	20/06/2025	98,73	98,73	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	39	Ordered	L50C27-54-3	CASING ASSY		1	ST	20/06/2025	261,27	261,27	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	40	Ordered	L50C27-54-4	CASING ASSY		1	ST	20/06/2025	268,08	268,08	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	41	Ordered	L50C27-54-6	CASING ASSY		1	ST	20/06/2025	192,89	192,89	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	42	Ordered	L50C27-56-1A	CASING ASSY		4	ST	20/06/2025	186,74	746,96	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	43	Ordered	L50C27-58-1A	CASING ASSY		4	ST	20/06/2025	261,46	1.045,84	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	50	Ordered	TLH72L1366-125	CABLE ASSY		4	ST	20/06/2025	257,96	1.031,84	EUR
Leonardo Aircraft	82221158	F--L32A319-165-001--1	51	Ordered	TLH72L1970-125	CABLE ASSY		4	ST	20/06/2025	249,36	997,44	EUR
Leonardo Aircraft	82221096	F--L32A319-165-001--1	64	Ordered	L50-99	WIRE CONTROL ASSY		5	ST	21/04/2025	33,39	166,95	EUR
Leonardo Aircraft	82221096	F--L32A319-165-001--1	65	Ordered	L50-99	WIRE CONTROL ASSY		4	ST	16/05/2025	33,39	133,56	EUR
