Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
Leonardo Helicopters	81112466	F--L32A319-165-001--1	1	Ordered	L44-110-17	ELEKTRISCHE VERKABELUNG		4	ST	24/11/2026	458,39	1.833,56	EUR
Leonardo Helicopters	81112465	F--L32A319-165-001--1	1	Ordered	L44A169-232	TAIL ROTOR CONTROL, TAIL SIDE	6F6720V00232	2	ST	11/12/2025	3.958,47	7.916,94	EUR
Leonardo Helicopters	81112464	F--L32A319-165-001--1	1	Ordered	L44A169-232	TAIL ROTOR CONTROL, TAIL SIDE	6F6720V00232	4	ST	28/11/2025	3.958,47	15.833,88	EUR
Leonardo Helicopters	81112463	F--L32A319-165-001--1	1	Ordered	L44A169-132	TAIL ROTOR CONTROL, CABIN SIDE	6F6720V00132	2	ST	23/06/2025	3.670,31	7.340,62	EUR
Leonardo Helicopters	81112462	F--L32A319-165-001--1	1	Ordered	L44A169-232	TAIL ROTOR CONTROL, TAIL SIDE	6F6720V00232	2	ST	23/06/2025	3.840,94	7.681,88	EUR
Leonardo Helicopters	81112462	F--L32A319-165-001--1	2	Ordered	L44A169-232	TAIL ROTOR CONTROL, TAIL SIDE	6F6720V00232	2	ST	23/06/2025	3.840,94	7.681,88	EUR
Leonardo Helicopters	81112461	F--L32A319-165-001--1	1	Ordered	L44A169-16-7	WASHER, LOCK	L44A169-16-7	45	ST	07/07/2025	8,42	378,9	EUR
Leonardo Helicopters	81112460	F--L32A319-165-001--1	1	Ordered	L44-110-17	ELEKTRISCHE VERKABELUNG		4	ST	23/10/2026	458,39	1.833,56	EUR
Leonardo Helicopters	81112459	F--L32A319-165-001--1	1	Ordered	L44A109-72	FLEX. SHAFT ASSY	109-0714-75-103	1	ST	25/01/2027	450,01	450,01	EUR
Leonardo Helicopters	81112457	F--L32A319-165-001--1	1	Ordered	L44-110-17	ELEKTRISCHE VERKABELUNG		4	ST	29/11/2025	458,39	1.833,56	EUR
Leonardo Helicopters	81112455	F--L32A319-165-001--1	1	Ordered	L44A169-16-7	WASHER, LOCK	L44A169-16-7	30	ST	18/11/2027	8,68	260,4	EUR
Leonardo Helicopters	81112450	F--L32A319-165-001--1	1	Ordered	L44A169-132	TAIL ROTOR CONTROL, CABIN SIDE	6F6720V00132	2	ST	18/09/2025	3.782,62	7.565,24	EUR
Leonardo Helicopters	81112450	F--L32A319-165-001--1	2	Ordered	L44A169-132	TAIL ROTOR CONTROL, CABIN SIDE	6F6720V00132	3	ST	16/07/2025	3.782,62	11.347,86	EUR
Leonardo Helicopters	81112450	F--L32A319-165-001--1	3	Ordered	L44A169-132	TAIL ROTOR CONTROL, CABIN SIDE	6F6720V00132	3	ST	06/11/2025	3.782,62	11.347,86	EUR
Leonardo Helicopters	81112450	F--L32A319-165-001--1	4	Ordered	L44A169-132	TAIL ROTOR CONTROL, CABIN SIDE	6F6720V00132	4	ST	03/12/2025	3.782,62	15.130,48	EUR
Leonardo Helicopters	81112450	F--L32A319-165-001--1	5	Ordered	L44A169-232	TAIL ROTOR CONTROL, TAIL SIDE	6F6720V00232	2	ST	17/11/2025	3.958,47	7.916,94	EUR
Leonardo Helicopters	81112450	F--L32A319-165-001--1	6	Ordered	L44A169-232	TAIL ROTOR CONTROL, TAIL SIDE	6F6720V00232	4	ST	28/11/2025	3.958,47	15.833,88	EUR
