Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
Leonardo UK Ltd	80440019	F--L32A319-165-001--1	1	Ordered	L44EH101-65	WIRE CONTROL ASSY	EA2900V613-005	1	ST	29/10/2025	890,49	890,49	EUR
Leonardo UK Ltd	80440018	F--L32A319-165-001--1	1	Ordered	LN9358-63-8AL	PULLEY		6	ST	19/08/2025	298,34	1.790,04	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	10	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	31/03/2028	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	20	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	03/07/2028	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	30	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	26/02/2029	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	40	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	29/08/2029	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	50	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	02/01/2030	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	60	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	25/04/2030	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	70	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	30/07/2030	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440017	F--L32A319-165-001--1	80	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	22/10/2030	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440016	F--L32A319-165-001--1	2	Ordered	L44EH101-63	WIRE CONTROL ASSY	EA2900V613-003	2	ST	06/08/2025	636,34	1.272,68	EUR
Leonardo UK Ltd	80440016	F--L32A319-165-001--1	3	Ordered	L44EH101-63	WIRE CONTROL ASSY	EA2900V613-003	1	ST	24/10/2025	636,34	636,34	EUR
Leonardo UK Ltd	80440016	F--L32A319-165-001--1	4	Ordered	L44EH101-65	WIRE CONTROL ASSY	EA2900V613-005	1	ST	06/08/2025	890,49	890,49	EUR
Leonardo UK Ltd	80440016	F--L32A319-165-001--1	5	Ordered	L44EH101-65	WIRE CONTROL ASSY	EA2900V613-005	1	ST	06/06/2025	890,49	890,49	EUR
Leonardo UK Ltd	80440016	F--L32A319-165-001--1	6	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	1	ST	06/06/2025	1.191,13	1.191,13	EUR
Leonardo UK Ltd	80440016	F--L32A319-165-001--1	7	Ordered	L44EH101-65	WIRE CONTROL ASSY	EA2900V613-005	4	ST	04/06/2025	890,49	3.561,96	EUR
Leonardo UK Ltd	80440015	F--L32A319-165-001--1	1	Ordered	L44EH101-63	WIRE CONTROL ASSY	EA2900V613-003	1	ST	24/10/2025	636,34	636,34	EUR
Leonardo UK Ltd	80440010	F--L32A319-165-001--1	2	Ordered	L44EH101-63	WIRE CONTROL ASSY	EA2900V613-003	2	ST	26/06/2025	636,34	1.272,68	EUR
Leonardo UK Ltd	80440002	F--L32A319-165-001--1	30	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	3	ST	10/04/2025	1.155,77	3.467,31	EUR
Leonardo UK Ltd	80440002	F--L32A319-165-001--1	40	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	3	ST	20/04/2026	1.155,77	3.467,31	EUR
Leonardo UK Ltd	80440002	F--L32A319-165-001--1	50	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	3	ST	05/04/2027	1.155,77	3.467,31	EUR
Leonardo UK Ltd	80440002	F--L32A319-165-001--1	60	Ordered	L44EH101-67	WIRE CONTROL ASSY	EA2900V613-007	4	ST	08/11/2027	1.155,77	4.623,08	EUR
