Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550226	F--L32A319-165-001--1	2	Ordered	L81BR725-20	CONDUIT ASSY		4	EA	02/01/2026	265,48	1.061,92	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550186	F--L32A319-165-001--1	2	Ordered	L81BR710-20	CONDUIT ASSY		1	EA	27/10/2025	263,43	263,43	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550185	F--L32A319-165-001--1	2	Ordered	L81BR710-20	CONDUIT ASSY		1	EA	29/09/2025	263,43	263,43	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550184	F--L32A319-165-001--1	2	Ordered	L81BR725-20	CONDUIT ASSY		3	EA	05/12/2025	265,48	796,44	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550183	F--L32A319-165-001--1	2	Ordered	L81BR725-20	CONDUIT ASSY		4	EA	07/11/2025	265,48	1.061,92	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550182	F--L32A319-165-001--1	2	Ordered	L81BR725-20	CONDUIT ASSY		1	EA	31/10/2025	265,48	265,48	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550181	F--L32A319-165-001--1	1	Ordered	252229	CABLE AND BRACKET ASSEMBLY		8	EA	28/11/2025	994,25	7.954,00	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550172	F--L32A319-165-001--1	2	Ordered	L81BR725-20	CONDUIT ASSY		4	EA	02/07/2025	265,48	1.061,92	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550171	F--L32A319-165-001--1	1	Ordered	252229	CABLE AND BRACKET ASSEMBLY		8	EA	02/07/2025	994,25	7.954,00	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550150	F--L32A319-165-001--1	2	Ordered	L81BR710-20	CONDUIT ASSY		1	EA	27/06/2025	263,43	263,43	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550148	F--L32A319-165-001--1	2	Ordered	L81BR725-20	CONDUIT ASSY		4	EA	04/06/2025	265,48	1.061,92	GBP
ROLLS-ROYCE DEUTSCHLAND LTD & CO KG - (GBP)	85550147	F--L32A319-165-001--1	1	Ordered	252229	CABLE AND BRACKET ASSEMBLY		8	EA	06/05/2025	994,25	7.954,00	GBP
